timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636089172266,21,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-49,text,true,,561,239,2,2,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,21,0,6
1636089172292,15,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-49,text,true,,561,239,2,2,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,15,0,5
1636089172308,13,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-49,text,true,,561,239,2,2,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,13,0,5
1636089172322,17,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-49,text,true,,561,239,2,2,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16,0,5
1636089172339,20,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-49,text,true,,561,239,2,2,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,20,0,8
1636089172366,16,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-48,text,true,,561,239,3,3,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16,0,6
1636089172567,20,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-46,text,true,,561,239,5,5,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,20,0,7
1636089172360,3168,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-49,text,true,,29914,239,34,34,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,3163,0,6
1636089172232,3587,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-50,text,true,,29628,239,37,37,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,3577,0,28
1636089172383,3884,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-48,text,true,,29292,239,42,42,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,3870,0,7
1636089172588,4193,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-46,text,true,,29789,239,47,47,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4179,0,9
1636089172466,4729,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-47,text,true,,29561,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4717,0,8
1636089172667,5012,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-45,text,true,,29799,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5000,0,6
1636089172767,5363,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-44,text,true,,27393,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5354,0,8
1636089172867,5820,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-43,text,true,,29810,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5809,0,7
1636089172968,6106,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-42,text,true,,29462,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,6092,0,7
1636089173066,6431,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-41,text,true,,29587,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,6419,0,5
1636089173167,6698,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-40,text,true,,28983,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,6685,0,5
1636089173267,7276,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-39,text,true,,29588,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7264,0,8
1636089173367,7780,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-38,text,true,,29038,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7768,0,8
1636089173467,7965,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-37,text,true,,28986,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7955,0,9
1636089173567,8309,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-36,text,true,,29613,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8299,0,10
1636089173867,8371,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-33,text,true,,29914,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8360,0,11
1636089173767,9017,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-34,text,true,,28696,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,9002,0,8
1636089174667,8297,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-25,text,true,,29348,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8278,0,8
1636089173667,9815,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-35,text,true,,29513,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,9801,0,14
1636089174267,9449,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-29,text,true,,29047,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,9437,0,9
1636089174067,9997,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-31,text,true,,26260,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,9989,0,8
1636089174566,10064,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-26,text,true,,28932,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,10053,0,6
1636089174470,10592,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-27,text,true,,29654,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,10506,0,8
1636089174167,11232,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-30,text,true,,29656,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11219,0,8
1636089173967,11897,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-32,text,true,,29460,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11884,0,8
1636089174367,11863,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-28,text,true,,29180,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11849,0,8
1636089174967,11690,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-22,text,true,,29506,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11677,0,12
1636089174868,12072,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-23,text,true,,28905,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,12060,0,23
1636089174767,12763,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-24,text,true,,29790,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,12751,0,8
1636089175066,12645,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-21,text,true,,29733,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,12634,0,6
